topic,keyword,window_weight,target_weight,global_window_weight,global_target_weight,topic_specificity,trend_ratio,raw_strength,continuity,topic_window_papers,topic_target_papers,z_strength,z_specificity,z_continuity,z_trend,influence_score
Bioinformatics and Computational Biology,language biomedical,3.253402882421795,2.9257326493525344,3.253402882421795,2.9257326493525344,4.231396452002924,-0.08016634471085005,1.4477193407814135,1.3675529960705635,46,4,-0.13951838035270353,0.5613510182202405,4.524371775283937,1.7047402830807468,1.187946336689853
Bioinformatics and Computational Biology,language biomedical natural,3.253402882421795,2.9257326493525344,3.253402882421795,2.9257326493525344,4.231396452002924,-0.08016634471085005,1.4477193407814135,1.3675529960705635,46,4,-0.13951838035270353,0.5613510182202405,4.524371775283937,1.7047402830807468,1.187946336689853
Bioinformatics and Computational Biology,biomedical,28.751554051095628,0.0,28.751554051095628,0.0,4.231411871795349,-3.3928813676389513,3.3928813676389513,0.0,46,4,3.157159071620409,0.5613576041940874,-0.30825000970838834,-2.4396418847377195,1.1256567194909404
Bioinformatics and Computational Biology,biomedical natural,18.74223784429636,0.0,18.74223784429636,0.0,4.23141082105875,-2.982760393552359,2.982760393552359,0.0,46,4,2.4620824922997806,0.5613571554121862,-0.30825000970838834,-1.926558797333946,0.8989342618684959
Bioinformatics and Computational Biology,biomedical natural language,18.74223784429636,0.0,18.74223784429636,0.0,4.23141082105875,-2.982760393552359,2.982760393552359,0.0,46,4,2.4620824922997806,0.5613571554121862,-0.30825000970838834,-1.926558797333946,0.8989342618684959
Bioinformatics and Computational Biology,medicine bmc bioinformatics,18.16370766225716,0.0,18.16370766225716,0.0,4.231410724925852,-2.9530182643781813,2.9530182643781813,0.0,46,4,2.4116752741511793,0.5613571143527001,-0.30825000970838834,-1.8893498165042386,0.8824922603741802
Bioinformatics and Computational Biology,bmc bioinformatics,17.26856066648151,0.0,17.26856066648151,0.0,4.231410563487907,-2.9051815860320764,2.9051815860320764,0.0,46,4,2.3306012573322996,0.5613570454006641,-0.30825000970838834,-1.8295035951018226,0.8560472551012592
Bioinformatics and Computational Biology,medicine biomedical informatics,14.779163617632644,0.0,14.779163617632644,0.0,4.231410011715577,-2.7586903113281593,2.7586903113281593,0.0,46,4,2.0823265760671115,0.561356809732243,-0.30825000970838834,-1.6462352419769946,0.7750641472071405
Bioinformatics and Computational Biology,biomedical informatics,14.779163617632644,0.0,14.779163617632644,0.0,4.231410011715577,-2.7586903113281593,2.7586903113281593,0.0,46,4,2.0823265760671115,0.561356809732243,-0.30825000970838834,-1.6462352419769946,0.7750641472071405
Bioinformatics and Computational Biology,bioinformatics,12.214822905914211,0.0,12.214822905914211,0.0,4.231409208170698,-2.581339146976236,2.581339146976236,0.0,46,4,1.7817502865203154,0.5613564665288188,-0.30825000970838834,-1.424359530394572,0.6770210995856369
Bioinformatics and Computational Biology,recommendations,2.8560477143670346,1.6160045356907067,7.4042382616418205,3.2010185501119524,3.2787925554580073,-0.38799458330941017,1.349642750729582,0.9616481674201719,46,4,-0.30573943470498627,0.15448274293954892,3.089996271588105,1.3196308323827504,0.6740113865557662
Bioinformatics and Computational Biology,medicine biomedical,10.966540388603368,0.0,10.966540388603368,0.0,4.231408681029189,-2.4821144542860476,2.4821144542860476,0.0,46,4,1.613583417871762,0.5613562413805095,-0.30825000970838834,-1.3002241779280013,0.62216781982838
Bioinformatics and Computational Biology,medicine bioinform,10.875959299992784,0.0,14.566990713250904,0.0,3.9392067010309284,-2.4745161298152083,2.4745161298152083,0.0,46,4,1.6007057117424381,0.43655335524210553,-0.30825000970838834,-1.2907182710738672,0.5805264622205426
Bioinformatics and Computational Biology,clinical notes,9.603888897690084,0.0,9.603888897690084,0.0,4.2314079491508565,-2.361220810975633,2.361220810975633,0.0,46,4,1.4086918240171427,0.5613559287867066,-0.30825000970838834,-1.1489798191254657,0.5553355243886449
Bioinformatics and Computational Biology,bionlp,10.015641015647347,0.0,14.099210708772276,0.0,3.8894390061587116,-2.399316173354278,2.399316173354278,0.0,46,4,1.4732561741557855,0.415296990187546,-0.30825000970838834,-1.196639137668081,0.5325776510100922
Bioinformatics and Computational Biology,future medicine,9.059985859719156,0.0,9.059985859719156,0.0,4.231407595546621,-2.308565759076088,2.308565759076088,0.0,46,4,1.3194515859634834,0.5613557777581983,-0.30825000970838834,-1.0831055568880987,0.5262268100823653
Bioinformatics and Computational Biology,bioinform,9.614735635467872,0.0,12.877738951479522,0.0,3.9392061941831757,-2.362243190037541,2.362243190037541,0.0,46,4,1.4104245609070387,0.43655313876149726,-0.30825000970838834,-1.1502588695489389,0.5184598770946931
Bioinformatics and Computational Biology,notes,8.824579947562437,0.0,8.824579947562437,0.0,4.23140742898831,-2.2848874034126117,2.2848874034126117,0.0,46,4,1.2793213036847932,0.5613557066191939,-0.30825000970838834,-1.053482678283758,0.513136963689622
Bioinformatics and Computational Biology,track,8.605223753392503,0.0,8.605223753392503,0.0,4.231407265583767,-2.262307091461157,2.262307091461157,0.0,46,4,1.241051995400414,0.561355636827201,-0.30825000970838834,-1.025233510592699,0.5006541362073783
Bioinformatics and Computational Biology,deep medicine,9.494691531703147,0.0,20.06630091478066,1.3437673972854727,3.4831020861479196,-2.3508695609114545,2.3508695609114545,0.0,46,4,1.3911484357465815,0.24174573511994313,-0.30825000970838834,-1.136029856365707,0.4537301072563672
Bioinformatics and Computational Biology,biomedical engineering,7.773371508612338,0.0,7.773371508612338,0.0,4.231406562114971,-2.171721169065141,2.171721169065141,0.0,46,4,1.0875261894748365,0.5613553363674435,-0.30825000970838834,-0.9119057178803629,0.45057650297045365
Bioinformatics and Computational Biology,protein,7.292425783505469,0.0,7.292425783505469,0.0,4.231406082177566,-2.1153425419654925,2.1153425419654925,0.0,46,4,0.9919752039186995,0.5613551313805596,-0.30825000970838834,-0.8413730656055101,0.419409312479419
Bioinformatics and Computational Biology,structure,8.64705561300276,0.0,19.20900836639709,0.0,3.433250464129075,-2.2666527509694325,2.2666527509694325,0.0,46,4,1.2484170567768322,0.2204535237986178,-0.30825000970838834,-1.0306701610890006,0.40078586179974046
Bioinformatics and Computational Biology,records deep,6.551146714670701,0.0,6.551146714670701,0.0,4.231405204445301,-2.0216994344657593,2.0216994344657593,0.0,46,4,0.8332680541982229,0.5613547564908348,-0.30825000970838834,-0.7242205722051065,0.3676415894643512
Bioinformatics and Computational Biology,healthcare,8.171079024419509,0.0,19.625829665565867,0.0,3.3551654494848795,-2.216054948312064,2.216054948312064,0.0,46,4,1.162663462558561,0.18710249999031522,-0.30825000970838834,-0.9673696267500567,0.36280917040383565
