topic,keyword,window_weight,target_weight,global_window_weight,global_target_weight,topic_specificity,trend_ratio,raw_strength,continuity,topic_window_papers,topic_target_papers,z_strength,z_specificity,z_continuity,z_trend,influence_score
Bioinformatics and Computational Biology,language biomedical,3.253402882421795,2.9257326493525344,3.253402882421795,2.9257326493525344,4.231396452002924,-0.08016634471085005,1.4477193407814135,1.3675529960705635,46,4,-0.13951838035270353,0.5613510182202405,4.524371775283937,1.7047402830807468,1.187946336689853
Bioinformatics and Computational Biology,language biomedical natural,3.253402882421795,2.9257326493525344,3.253402882421795,2.9257326493525344,4.231396452002924,-0.08016634471085005,1.4477193407814135,1.3675529960705635,46,4,-0.13951838035270353,0.5613510182202405,4.524371775283937,1.7047402830807468,1.187946336689853
Bioinformatics and Computational Biology,biomedical,28.751554051095628,0.0,28.751554051095628,0.0,4.231411871795349,-3.3928813676389513,3.3928813676389513,0.0,46,4,3.157159071620409,0.5613576041940874,-0.30825000970838834,-2.4396418847377195,1.1256567194909404
Bioinformatics and Computational Biology,biomedical natural,18.74223784429636,0.0,18.74223784429636,0.0,4.23141082105875,-2.982760393552359,2.982760393552359,0.0,46,4,2.4620824922997806,0.5613571554121862,-0.30825000970838834,-1.926558797333946,0.8989342618684959
Bioinformatics and Computational Biology,biomedical natural language,18.74223784429636,0.0,18.74223784429636,0.0,4.23141082105875,-2.982760393552359,2.982760393552359,0.0,46,4,2.4620824922997806,0.5613571554121862,-0.30825000970838834,-1.926558797333946,0.8989342618684959
Bioinformatics and Computational Biology,medicine bmc bioinformatics,18.16370766225716,0.0,18.16370766225716,0.0,4.231410724925852,-2.9530182643781813,2.9530182643781813,0.0,46,4,2.4116752741511793,0.5613571143527001,-0.30825000970838834,-1.8893498165042386,0.8824922603741802
Bioinformatics and Computational Biology,bmc bioinformatics,17.26856066648151,0.0,17.26856066648151,0.0,4.231410563487907,-2.9051815860320764,2.9051815860320764,0.0,46,4,2.3306012573322996,0.5613570454006641,-0.30825000970838834,-1.8295035951018226,0.8560472551012592
Bioinformatics and Computational Biology,medicine biomedical informatics,14.779163617632644,0.0,14.779163617632644,0.0,4.231410011715577,-2.7586903113281593,2.7586903113281593,0.0,46,4,2.0823265760671115,0.561356809732243,-0.30825000970838834,-1.6462352419769946,0.7750641472071405
Bioinformatics and Computational Biology,biomedical informatics,14.779163617632644,0.0,14.779163617632644,0.0,4.231410011715577,-2.7586903113281593,2.7586903113281593,0.0,46,4,2.0823265760671115,0.561356809732243,-0.30825000970838834,-1.6462352419769946,0.7750641472071405
Bioinformatics and Computational Biology,bioinformatics,12.214822905914211,0.0,12.214822905914211,0.0,4.231409208170698,-2.581339146976236,2.581339146976236,0.0,46,4,1.7817502865203154,0.5613564665288188,-0.30825000970838834,-1.424359530394572,0.6770210995856369
Bioinformatics and Computational Biology,recommendations,2.8560477143670346,1.6160045356907067,7.4042382616418205,3.2010185501119524,3.2787925554580073,-0.38799458330941017,1.349642750729582,0.9616481674201719,46,4,-0.30573943470498627,0.15448274293954892,3.089996271588105,1.3196308323827504,0.6740113865557662
Bioinformatics and Computational Biology,medicine biomedical,10.966540388603368,0.0,10.966540388603368,0.0,4.231408681029189,-2.4821144542860476,2.4821144542860476,0.0,46,4,1.613583417871762,0.5613562413805095,-0.30825000970838834,-1.3002241779280013,0.62216781982838
Bioinformatics and Computational Biology,medicine bioinform,10.875959299992784,0.0,14.566990713250904,0.0,3.9392067010309284,-2.4745161298152083,2.4745161298152083,0.0,46,4,1.6007057117424381,0.43655335524210553,-0.30825000970838834,-1.2907182710738672,0.5805264622205426
Bioinformatics and Computational Biology,clinical notes,9.603888897690084,0.0,9.603888897690084,0.0,4.2314079491508565,-2.361220810975633,2.361220810975633,0.0,46,4,1.4086918240171427,0.5613559287867066,-0.30825000970838834,-1.1489798191254657,0.5553355243886449
Bioinformatics and Computational Biology,bionlp,10.015641015647347,0.0,14.099210708772276,0.0,3.8894390061587116,-2.399316173354278,2.399316173354278,0.0,46,4,1.4732561741557855,0.415296990187546,-0.30825000970838834,-1.196639137668081,0.5325776510100922
Computer Networks,internet,22.666427574901626,1.5553719042081184,22.666427574901626,1.5553719042081184,3.7038085776746703,-2.225859713413346,3.16405748585323,0.938197772439884,74,11,2.565785100190361,0.5471704830740645,2.351901077059654,-1.0203850914401584,1.5588068912662785
Computer Networks,latency,10.58745359029355,0.9231387689220043,10.58745359029355,0.9231387689220043,3.7038057595900127,-1.7959642990023026,2.4499229257312924,0.6539586267289897,74,11,1.5269512491243482,0.547169806379818,1.5194834304245428,-0.5637981612280792,1.0224483115257854
Computer Networks,iot network,4.827729457421086,2.2459246435605125,13.77905076120401,3.58616239638875,2.655034062265826,-0.5852272124317941,1.762627466085436,1.1774002536536419,74,11,0.5271595725498691,0.2953328817667882,3.052425158579943,0.7221116464131347,0.9821598899072863
Computer Networks,network neural,23.879768612620357,0.0,39.96044499794728,0.0,3.188951179595589,-3.2140549676918946,3.2140549676918946,0.0,74,11,2.638515198273269,0.42354004560391323,-0.395688034424151,-2.0699358018596388,0.8963369059196875
Computer Networks,network neural processing,23.879768612620357,0.0,42.497813558568495,0.0,3.1273887262387676,-3.2140549676918946,3.2140549676918946,0.0,74,11,2.638515198273269,0.4087573250513175,-0.395688034424151,-2.0699358018596388,0.8919020897539087
Computer Networks,network,24.122343602905524,0.0,58.98226454533247,1.054580454092209,2.809711866829499,-3.223757633542179,3.223757633542179,0.0,74,11,2.6526294258904515,0.33247498114513335,-0.395688034424151,-2.080240890648558,0.8736325687500347
Computer Networks,distributed computing continuum,4.30432211276076,1.7801598225680444,9.528015473737074,3.5913440798745,2.9091885559684334,-0.6460135650156329,1.6685219811980743,1.0225084161824414,74,11,0.3902666552608921,0.3563618800072523,2.5988117109730213,0.6575511668298217,0.848532684984119
Computer Networks,communications,19.758750094446327,0.0,26.78540695364124,0.0,3.399548189722107,-3.0329678490885374,3.0329678490885374,0.0,74,11,2.375092253492313,0.47410977731795223,-0.395688034424151,-1.8776052749166334,0.8253717002158172
Computer Networks,computing continuum,4.156983863939176,1.7192244129939942,9.20186861997734,3.468411284934327,2.909188354078276,-0.6400051887356955,1.6403518861011916,1.0003466973654962,74,11,0.3492883158714729,0.3563618315282587,2.5339093000934367,0.6639325935425819,0.8197989951800124
Computer Networks,continuum,4.095214096169967,1.6936779840903322,11.621666120400231,3.416873206700009,2.6607543270394207,-0.6373941465617824,1.6283016866299074,0.990907540068125,74,11,0.33175918925879305,0.2967064637315092,2.506265953910261,0.6667057511313282,0.789639380718155
