paper_id,title,year,citation_count,venue,fields_of_study,topics,topic_ids,primary_topic
8213dbed4db44e113af3ed17d6dad57471a0c048,The Nature of Statistical Learning Theory,2000,45304,Statistics for Engineering and Information Science,Computer Science;Political Science;Mathematics,"['Machine Learning', 'Statistical Learning']","['machine_learning', 'statistical_learning']",Machine Learning
0e90a73f03902cbe915af1aff54ea7f0b3373680,An Introduction to Support Vector Machines and Other Kernel-Based Learning Methods,2001,9017,The AI Magazine,Computer Science,"['Kernel Methods / SVM', 'Machine Learning']","['kernel_methods_svm', 'machine_learning']",Kernel Methods / SVM
24cad9705ccc13fce969021a708ca703db3ae31c,LEO - DB2's LEarning Optimizer,2001,431,Very Large Data Bases Conference,Computer Science,"['Databases and Data Management', 'Optimization', 'Machine Learning']","['databases_and_data_management', 'optimization', 'machine_learning']",Databases and Data Management
666010dc3621e1a08fb6830f03a1f7857c7377cc,I and i,2001,41578,British medical journal,Computer Science,['Bioinformatics and Computational Biology'],['bioinformatics_and_computational_biology'],Bioinformatics and Computational Biology
8e0be569ea77b8cb29bb0e8b031887630fe7a96c,Random Forests,2001,111116,Machine-mediated learning,Mathematics;Computer Science,['Machine Learning'],['machine_learning'],Machine Learning
dc6ea0e30e46163b706f2f8bdc9c67ca87f83d63,Rapid object detection using a boosted cascade of simple features,2001,2175,Proceedings of the 2001 IEEE Computer Society Conference on Computer Vision and Pattern Recognition. CVPR 2001,Computer Science,"['Computer Vision', 'Machine Learning']","['computer_vision', 'machine_learning']",Computer Vision
f42b865e20e61a954239f421b42007236e671f19,GradientBased Learning Applied to Document Recognition,2001,4383,,Computer Science,['Machine Learning'],['machine_learning'],Machine Learning
f4ba954b0412773d047dc41231c733de0c1f4926,Conditional Random Fields: Probabilistic Models for Segmenting and Labeling Sequence Data,2001,15442,International Conference on Machine Learning,Computer Science,"['Machine Learning', 'Statistical Learning']","['machine_learning', 'statistical_learning']",Machine Learning
f7566f1797eb36429acbb09e581d6b2918a50760,Foundations of Statistical Natural Language Processing,2001,6009,Information retrieval (Boston),Computer Science,"['Information Retrieval', 'Natural Language Processing', 'Machine Learning']","['information_retrieval', 'natural_language_processing', 'machine_learning']",Information Retrieval
12d0353ce8b41b7e5409e5a4a611110aee33c7bc,Thumbs up? Sentiment Classification using Machine Learning Techniques,2002,9498,Conference on Empirical Methods in Natural Language Processing,Computer Science,"['Machine Learning', 'Natural Language Processing']","['machine_learning', 'natural_language_processing']",Machine Learning
502858989368adae91e0f4a643ebc2aa6efd5738,Introduction to the CoNLL-2002 Shared Task: Language-Independent Named Entity Recognition,2002,850,Conference on Computational Natural Language Learning,Computer Science,"['Natural Language Processing', 'Machine Learning']","['natural_language_processing', 'machine_learning']",Natural Language Processing
765980abe01a7415267aee710faf946ef9a06d78,Status of land cover classification accuracy assessment,2002,4389,,Computer Science,['Machine Learning'],['machine_learning'],Machine Learning
8cb44f06586f609a29d9b496cc752ec01475dffe,SMOTE: Synthetic Minority Over-sampling Technique,2002,28810,Journal of Artificial Intelligence Research,Computer Science;Mathematics,['Machine Learning'],['machine_learning'],Machine Learning
d7da009f457917aa381619facfa5ffae9329a6e9,Bleu: a Method for Automatic Evaluation of Machine Translation,2002,31701,Annual Meeting of the Association for Computational Linguistics,Computer Science,"['Natural Language Processing', 'Machine Learning']","['natural_language_processing', 'machine_learning']",Natural Language Processing
e0c01df98a6b633b25c96c1a99b713ac96f1c5be,Placing search in context: the concept revisited,2002,1864,TOIS,Computer Science,['Natural Language Processing'],['natural_language_processing'],Natural Language Processing
fb6b4b57f431a0cfbb83bb2af8beab4ee694e94c,Gene Selection for Cancer Classification using Support Vector Machines,2002,5974,Machine-mediated learning,Computer Science,"['Kernel Methods / SVM', 'Machine Learning']","['kernel_methods_svm', 'machine_learning']",Kernel Methods / SVM
10f97f1fb4f5c2c8e6c44d4a33da46d331dd4aeb,Introduction to the CoNLL-2003 Shared Task: Language-Independent Named Entity Recognition,2003,4591,Conference on Computational Natural Language Learning,Computer Science,"['Natural Language Processing', 'Machine Learning']","['natural_language_processing', 'machine_learning']",Natural Language Processing
34b9635d7779e219e9d60e0d3d33919ca9bc123c,Publisher's Note,2003,268902,Journal of Network and Computer Applications,Computer Science,['Computer Networks'],['computer_networks'],Computer Networks
6c2b28f9354f667cd5bd07afc0471d8334430da7,A Neural Probabilistic Language Model,2003,7687,Journal of machine learning research,Computer Science,"['Large Language Models', 'Machine Learning', 'Deep Learning', 'Natural Language Processing']","['large_language_models', 'machine_learning', 'deep_learning', 'natural_language_processing']",Large Language Models
b3bf6373ff41a115197cb5b30e57830c16130c2c,Using TF-IDF to Determine Word Relevance in Document Queries,2003,2502,,Computer Science,"['Natural Language Processing', 'Machine Learning']","['natural_language_processing', 'machine_learning']",Natural Language Processing
e73f87a22a17812391c55e87c292cffec29f5dbe,Automatic differentiation,2003,834,,Computer Science,"['Optimization', 'Machine Learning']","['optimization', 'machine_learning']",Optimization
1f1eaf19e38b541eec8a02f099e3090536a4c936,The Unified Medical Language System (UMLS): integrating biomedical terminology,2004,4590,Nucleic Acids Res.,Computer Science;Medicine;Biology,['Bioinformatics and Computational Biology'],['bioinformatics_and_computational_biology'],Bioinformatics and Computational Biology
24e6cf0796237f21c780a3f0c996817f57b3a1bd,Support-vector networks,2004,8952,Machine-mediated learning,Computer Science,['Computer Networks'],['computer_networks'],Computer Networks
29890a936639862f45cb9a987dd599dce9759bf5,Procedures for Performing Systematic Reviews,2004,5141,,Computer Science,['Software Engineering'],['software_engineering'],Software Engineering
3bd4d2de49d8a092abb295b845dba14874f8787d,Introduction to the Bio-entity Recognition Task at JNLPBA,2004,747,NLPBA/BioNLP,Computer Science,"['Natural Language Processing', 'Machine Learning']","['natural_language_processing', 'machine_learning']",Natural Language Processing
44fca068eecce2203d111213e3691647914a3945,LexRank: Graph-based Lexical Centrality as Salience in Text Summarization,2004,3203,Journal of Artificial Intelligence Research,Mathematics;Computer Science,"['Natural Language Processing', 'Machine Learning']","['natural_language_processing', 'machine_learning']",Natural Language Processing
60b05f32c32519a809f21642ef1eb3eaf3848008,ROUGE: A Package for Automatic Evaluation of Summaries,2004,19121,Annual Meeting of the Association for Computational Linguistics,Computer Science,"['Natural Language Processing', 'Machine Learning']","['natural_language_processing', 'machine_learning']",Natural Language Processing
6ccb34bf2122304af5cbecf54402ee3d970e43f2,Induction of decision trees,2004,16976,Machine-mediated learning,Computer Science,['Machine Learning'],['machine_learning'],Machine Learning
8c04f169203f9e55056a6f7f956695babe622a38,Distinctive Image Features from Scale-Invariant Keypoints,2004,49323,International Journal of Computer Vision,Computer Science,"['Computer Vision', 'Machine Learning']","['computer_vision', 'machine_learning']",Computer Vision
eae2e0fa72e898c289365c0af16daf57a7a6cf40,Image quality assessment: from error visibility to structural similarity,2004,54393,IEEE Transactions on Image Processing,Computer Science;Medicine,"['Computer Vision', 'Machine Learning']","['computer_vision', 'machine_learning']",Computer Vision
6af58c061f2e4f130c3b795c21ff0c7e3903278f,Seeing Stars: Exploiting Class Relationships for Sentiment Categorization with Respect to Rating Scales,2005,3138,Annual Meeting of the Association for Computational Linguistics,Computer Science,"['Natural Language Processing', 'Machine Learning']","['natural_language_processing', 'machine_learning']",Natural Language Processing
7533d30329cfdbf04ee8ee82bfef792d08015ee5,METEOR: An Automatic Metric for MT Evaluation with Improved Correlation with Human Judgments,2005,7582,IEEvaluation@ACL,Computer Science,"['Natural Language Processing', 'Machine Learning']","['natural_language_processing', 'machine_learning']",Natural Language Processing
e12c07178f0dc2fcccee21c96ed26f142dc1e08f,A new model for learning in graph domains,2005,2088,IEEE International Joint Conference on Neural Network,Computer Science,"['Deep Learning', 'Machine Learning']","['deep_learning', 'machine_learning']",Deep Learning
e8b12467bdc20bde976750b8a28decdb33246d1d,Histograms of oriented gradients for human detection,2005,35241,Computer Vision and Pattern Recognition,Computer Science,"['Computer Vision', 'Machine Learning']","['computer_vision', 'machine_learning']",Computer Vision
fd3fde428c91e084b329196ec69380d40e54e16b,Requirements engineering paper classification and evaluation criteria: a proposal and a discussion,2005,971,Requirements Engineering,Engineering;Computer Science,['Machine Learning'],['machine_learning'],Machine Learning
02552a8b40f3a82a5353f596264db71d899a9b4a,Supporting Online Material for Reducing the Dimensionality of Data with Neural Networks,2006,11484,,Computer Science,"['Deep Learning', 'Machine Learning']","['deep_learning', 'machine_learning']",Deep Learning
13ef25201af7f2a7e401ef31a6197f66357f6f01,The PASCAL Visual Object Classes Challenge,2006,3334,,Computer Science,"['Computer Vision', 'Machine Learning']","['computer_vision', 'machine_learning']",Computer Vision
30c9bb327b7f2b9f1d1e5b69b9d0c97b410948d9,Model compression,2006,2757,Knowledge Discovery and Data Mining,Computer Science,"['Data Mining', 'Machine Learning']","['data_mining', 'machine_learning']",Data Mining
355d44f53428b1ac4fb2ab468d593c720640e5bd,Greedy Layer-Wise Training of Deep Networks,2006,5430,Neural Information Processing Systems,Computer Science,"['Deep Learning', 'Machine Learning']","['deep_learning', 'machine_learning']",Deep Learning
55bdaa9d27ed595e2ccf34b3a7847020cc9c946c,Performing systematic literature reviews in software engineering,2006,7855,International Conference on Software Engineering,Computer Science,['Software Engineering'],['software_engineering'],Software Engineering
6a630ac89d7c0a57eb7bf4cb30dd5946bcf3ccce,"google,我,萨娜",2006,8208,,Computer Science,['Machine Learning'],['machine_learning'],Machine Learning
6ed9417eaa7ee16f0563599829a061421a3e0563,NLTK: The Natural Language Toolkit,2006,5079,Annual Meeting of the Association for Computational Linguistics,Computer Science,"['Natural Language Processing', 'Machine Learning']","['natural_language_processing', 'machine_learning']",Natural Language Processing
812355cec91fa30bb50e9e992a3549af39e4f6eb,One-shot learning of object categories,2006,3294,IEEE Transactions on Pattern Analysis and Machine Intelligence,Computer Science;Medicine,['Computer Vision'],['computer_vision'],Computer Vision
85983d70db7bef99103c3833793f503c18445546,Differential Privacy,2006,7127,"International Colloquium on Automata, Languages and Programming",Computer Science,['Security and Privacy'],['security_and_privacy'],Security and Privacy
8978cf7574ceb35f4c3096be768c7547b28a35d0,A Fast Learning Algorithm for Deep Belief Nets,2006,16699,Neural Computation,Computer Science;Mathematics;Medicine,['Theory and Algorithms'],['theory_and_algorithms'],Theory and Algorithms
bd701166ecd1c3cd992bf68bdc675f3ec7f26c97,An Introduction to Software Testing,2006,1242,FoVMT,Computer Science,['Software Engineering'],['software_engineering'],Software Engineering
d40ee5dd758c525dfb9932d726bb4e844b7b8478,An introduction to ROC analysis,2006,20505,Pattern Recognition Letters,Computer Science,['Machine Learning'],['machine_learning'],Machine Learning
e4ce10063cd25447dcde75c2d9ce327446ced952,Calibrating Noise to Sensitivity in Private Data Analysis,2006,9015,Theory of Cryptography Conference,Computer Science,['Security and Privacy'],['security_and_privacy'],Security and Privacy
1c32125cc9fb052b881a6dec812b62ed998915d7,Lessons from applying the systematic literature review process within the software engineering domain,2007,2292,Journal of Systems and Software,Computer Science,['Software Engineering'],['software_engineering'],Software Engineering
34446adc7d701a2c3a89c2fc5f6d3479eef407b0,Content-Based Recommendation Systems,2007,2827,The Adaptive Web,Computer Science,"['Recommender Systems', 'Machine Learning']","['recommender_systems', 'machine_learning']",Recommender Systems
4a554da55fd9ff76c99e25d2ce937b225dc1100c,A survey of named entity recognition and classification,2007,2928,,Computer Science,"['Machine Learning', 'Natural Language Processing']","['machine_learning', 'natural_language_processing']",Machine Learning
5740f80fb61c4489674c9a0beb40c4f5e0ed19ff,YAGO: A Core of Semantic Knowledge Unifying WordNet and Wikipedia,2007,4637,The Web Conference,Computer Science,"['Natural Language Processing', 'Machine Learning']","['natural_language_processing', 'machine_learning']",Natural Language Processing
6a40d21075cf3d50c57a5fa58568a8db3b3422b3,Learning to Detect A Salient Object,2007,2594,2007 IEEE Conference on Computer Vision and Pattern Recognition,Computer Science,"['Computer Vision', 'Machine Learning']","['computer_vision', 'machine_learning']",Computer Vision
6e633b41d93051375ef9135102d54fa097dc8cf8,Classification and Regression by randomForest,2007,18889,,Computer Science,['Machine Learning'],['machine_learning'],Machine Learning
8578cf1abe804dbe7c53ddd09dd0a701fad81547,Quantum random access memory.,2007,881,Physical Review Letters,Computer Science;Physics;Medicine,['Software Engineering'],['software_engineering'],Software Engineering
d04d6db5f0df11d0cff57ec7e15134990ac07a4f,Learning Deep Architectures for AI,2007,8773,Found. Trends Mach. Learn.,Computer Science,['Machine Learning'],['machine_learning'],Machine Learning
1976c9eeccc7115d18a04f1e7fb5145db6b96002,Freebase: a collaboratively created graph database for structuring human knowledge,2008,5727,SIGMOD Conference,Computer Science,['Databases and Data Management'],['databases_and_data_management'],Databases and Data Management
2258e01865367018ed6f4262c880df85b94959f8,Evaluating Multiple Object Tracking Performance: The CLEAR MOT Metrics,2008,2992,EURASIP Journal on Image and Video Processing,Computer Science,['Natural Language Processing'],['natural_language_processing'],Natural Language Processing
57458bc1cffe5caa45a885af986d70f723f406b4,A unified architecture for natural language processing: deep neural networks with multitask learning,2008,5966,International Conference on Machine Learning,Computer Science,"['Deep Learning', 'Machine Learning', 'Natural Language Processing']","['deep_learning', 'machine_learning', 'natural_language_processing']",Deep Learning
