paper_id,topic_id,topic_name,title,year
8213dbed4db44e113af3ed17d6dad57471a0c048,machine_learning,Machine Learning,The Nature of Statistical Learning Theory,2000
8213dbed4db44e113af3ed17d6dad57471a0c048,statistical_learning,Statistical Learning,The Nature of Statistical Learning Theory,2000
0e90a73f03902cbe915af1aff54ea7f0b3373680,kernel_methods_svm,Kernel Methods / SVM,An Introduction to Support Vector Machines and Other Kernel-Based Learning Methods,2001
0e90a73f03902cbe915af1aff54ea7f0b3373680,machine_learning,Machine Learning,An Introduction to Support Vector Machines and Other Kernel-Based Learning Methods,2001
24cad9705ccc13fce969021a708ca703db3ae31c,databases_and_data_management,Databases and Data Management,LEO - DB2's LEarning Optimizer,2001
24cad9705ccc13fce969021a708ca703db3ae31c,optimization,Optimization,LEO - DB2's LEarning Optimizer,2001
24cad9705ccc13fce969021a708ca703db3ae31c,machine_learning,Machine Learning,LEO - DB2's LEarning Optimizer,2001
666010dc3621e1a08fb6830f03a1f7857c7377cc,bioinformatics_and_computational_biology,Bioinformatics and Computational Biology,I and i,2001
8e0be569ea77b8cb29bb0e8b031887630fe7a96c,machine_learning,Machine Learning,Random Forests,2001
dc6ea0e30e46163b706f2f8bdc9c67ca87f83d63,computer_vision,Computer Vision,Rapid object detection using a boosted cascade of simple features,2001
dc6ea0e30e46163b706f2f8bdc9c67ca87f83d63,machine_learning,Machine Learning,Rapid object detection using a boosted cascade of simple features,2001
f42b865e20e61a954239f421b42007236e671f19,machine_learning,Machine Learning,GradientBased Learning Applied to Document Recognition,2001
f4ba954b0412773d047dc41231c733de0c1f4926,machine_learning,Machine Learning,Conditional Random Fields: Probabilistic Models for Segmenting and Labeling Sequence Data,2001
f4ba954b0412773d047dc41231c733de0c1f4926,statistical_learning,Statistical Learning,Conditional Random Fields: Probabilistic Models for Segmenting and Labeling Sequence Data,2001
f7566f1797eb36429acbb09e581d6b2918a50760,information_retrieval,Information Retrieval,Foundations of Statistical Natural Language Processing,2001
f7566f1797eb36429acbb09e581d6b2918a50760,natural_language_processing,Natural Language Processing,Foundations of Statistical Natural Language Processing,2001
f7566f1797eb36429acbb09e581d6b2918a50760,machine_learning,Machine Learning,Foundations of Statistical Natural Language Processing,2001
12d0353ce8b41b7e5409e5a4a611110aee33c7bc,machine_learning,Machine Learning,Thumbs up? Sentiment Classification using Machine Learning Techniques,2002
12d0353ce8b41b7e5409e5a4a611110aee33c7bc,natural_language_processing,Natural Language Processing,Thumbs up? Sentiment Classification using Machine Learning Techniques,2002
502858989368adae91e0f4a643ebc2aa6efd5738,natural_language_processing,Natural Language Processing,Introduction to the CoNLL-2002 Shared Task: Language-Independent Named Entity Recognition,2002
502858989368adae91e0f4a643ebc2aa6efd5738,machine_learning,Machine Learning,Introduction to the CoNLL-2002 Shared Task: Language-Independent Named Entity Recognition,2002
765980abe01a7415267aee710faf946ef9a06d78,machine_learning,Machine Learning,Status of land cover classification accuracy assessment,2002
8cb44f06586f609a29d9b496cc752ec01475dffe,machine_learning,Machine Learning,SMOTE: Synthetic Minority Over-sampling Technique,2002
d7da009f457917aa381619facfa5ffae9329a6e9,natural_language_processing,Natural Language Processing,Bleu: a Method for Automatic Evaluation of Machine Translation,2002
d7da009f457917aa381619facfa5ffae9329a6e9,machine_learning,Machine Learning,Bleu: a Method for Automatic Evaluation of Machine Translation,2002
e0c01df98a6b633b25c96c1a99b713ac96f1c5be,natural_language_processing,Natural Language Processing,Placing search in context: the concept revisited,2002
fb6b4b57f431a0cfbb83bb2af8beab4ee694e94c,kernel_methods_svm,Kernel Methods / SVM,Gene Selection for Cancer Classification using Support Vector Machines,2002
fb6b4b57f431a0cfbb83bb2af8beab4ee694e94c,machine_learning,Machine Learning,Gene Selection for Cancer Classification using Support Vector Machines,2002
10f97f1fb4f5c2c8e6c44d4a33da46d331dd4aeb,natural_language_processing,Natural Language Processing,Introduction to the CoNLL-2003 Shared Task: Language-Independent Named Entity Recognition,2003
10f97f1fb4f5c2c8e6c44d4a33da46d331dd4aeb,machine_learning,Machine Learning,Introduction to the CoNLL-2003 Shared Task: Language-Independent Named Entity Recognition,2003
34b9635d7779e219e9d60e0d3d33919ca9bc123c,computer_networks,Computer Networks,Publisher's Note,2003
6c2b28f9354f667cd5bd07afc0471d8334430da7,large_language_models,Large Language Models,A Neural Probabilistic Language Model,2003
6c2b28f9354f667cd5bd07afc0471d8334430da7,machine_learning,Machine Learning,A Neural Probabilistic Language Model,2003
6c2b28f9354f667cd5bd07afc0471d8334430da7,deep_learning,Deep Learning,A Neural Probabilistic Language Model,2003
